source_repo,source_commit,source_path,source_sha256,disposition,destination,reason
wedge1-aip,6bb69176e691199bc232da489374c042441471f0,.gitignore,1fed0419e7209148b991fce0e94d5a307f4163d4456b1f75077d64db701a2abb,CONSOLIDATED_REPOSITORY_SUPPORT,.gitignore,"replaced by lean repository-specific ignore rules"
wedge1-aip,6bb69176e691199bc232da489374c042441471f0,AGENTS.md,53631383f2bd8a97db0c17ccb7894fb8081f3925fdf9a31f87976b920f2a2985,CONSOLIDATED_CONSTITUTION,AGENTS.md,"durable principles distilled; platform and stale state bindings removed"
wedge1-aip,6bb69176e691199bc232da489374c042441471f0,BUILD_STATE.md,42f0d100d32d68ca6bc6efc1251686bf4b9f0c99912bbf2a56af042bce7e5388,EXCLUDED_INVENTORIED,,superseded or mixed authority consolidated into the new constitution/current-state owner
wedge1-aip,6bb69176e691199bc232da489374c042441471f0,DECISIONS_ARCHITECTURE.md,f9751a32fd4f16d7da6134b4ead02a8ca63e7b699b59457708e885bf6ba65d86,EXCLUDED_INVENTORIED,,"assessed legacy artifact with no surviving authority, evidence, or production role"
wedge1-aip,6bb69176e691199bc232da489374c042441471f0,DOMAIN_DECISIONS.md,e4370c5ac87d027c6da30842178d8560aaba524405473d5f89c38492b5b3b977,EXCLUDED_INVENTORIED,,"assessed legacy artifact with no surviving authority, evidence, or production role"
wedge1-aip,6bb69176e691199bc232da489374c042441471f0,FIRST_PRINCIPLES_DESIGN.md,8f0440dc81927e4270285dc630244fbeb61a3fba42bee47e3c5314d1d2527392,EXCLUDED_INVENTORIED,,"assessed legacy artifact with no surviving authority, evidence, or production role"
wedge1-aip,6bb69176e691199bc232da489374c042441471f0,MASTER_PLAN.md,79d21d29f839ba8251fe36cf62203e4f35bc462514e63f5b3ab0370d239d748b,EXCLUDED_INVENTORIED,,superseded or mixed authority consolidated into the new constitution/current-state owner
wedge1-aip,6bb69176e691199bc232da489374c042441471f0,OWNER_GUIDE.md,640db22ad4dd5cbe2e255293b795762b37cec91244240c67a4b9f6f02dcb6330,EXCLUDED_INVENTORIED,,"assessed legacy artifact with no surviving authority, evidence, or production role"
wedge1-aip,6bb69176e691199bc232da489374c042441471f0,REDESIGN_SEQUENCE.md,7e96bc8e7dd6b71bb08899503822a9bb60ac5cbda822f0b8c09baffcc2a62a25,EXCLUDED_INVENTORIED,,superseded or mixed authority consolidated into the new constitution/current-state owner
wedge1-aip,6bb69176e691199bc232da489374c042441471f0,RID_LEDGER.md,4c0b83ba2dcad5533469585a51d383a08d5c9cfebcf76870a6f7c34c05a9ce8c,EXCLUDED_INVENTORIED,,superseded or mixed authority consolidated into the new constitution/current-state owner
wedge1-aip,6bb69176e691199bc232da489374c042441471f0,SPECS/NAMING.md,2c01b21690ee0f48bbbcb8ad6635a322d1668ccc5167204c524e59cc4736d787,EXCLUDED_INVENTORIED,,development-stage or historical implementation record
